央视,#genre#
CCTV-1,http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000210103.m3u8
CCTV-2,http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000203603.m3u8
CCTV-3,http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000203803.m3u8
CCTV-4,http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000204803.m3u8
CCTV-5,http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000205103.m3u8
CCTV-5+,http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000204503.m3u8
CCTV-6,http://112.17.40.140/PLTV/88888888/224/3221226433/index.m3u8
CCTV-6,http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000203302.m3u8
CCTV-7,http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000510003.m3u8
CCTV-8,http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000203903.m3u8
CCTV-9,http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000499403.m3u8
CCTV-10,http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000203503.m3u8
CCTV-11,http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000204103.m3u8
CCTV-12,http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000202603.m3u8
CCTV-13,http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000204603.m3u8
CCTV-14,http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000204403.m3u8
CCTV-15,http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000205003.m3u8
CCTV-17,http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000204203.m3u8
CCTV-4K,http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000266303.m3u8
CCTV-4K,http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000266303.m3u8
CGTN,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2001656803.m3u8
CGTN,http://120.204.20.147/tlivecloud-cdn.ysp.cctv.cn/001/2001656803.m3u8


CCTV-1,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000210103.m3u8
CCTV-2,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000203603.m3u8
CCTV-3,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000203803.m3u8
CCTV-4,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000204803.m3u8
CCTV-5,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000205103.m3u8
CCTV-5+,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000204503.m3u8
CCTV-6,http://118.123.60.5:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=093&Provider_id=&Pcontent_id=index.m3u8
CCTV-7,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000510003.m3u8
CCTV-8,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000203903.m3u8
CCTV-9,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000499403.m3u8
CCTV-10,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000203503.m3u8
CCTV-11,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000204103.m3u8
CCTV-12,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000202603.m3u8
CCTV-13,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000204603.m3u8
CCTV-14,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000204403.m3u8
CCTV-15,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000205003.m3u8
CCTV-17,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000204203.m3u8




CCTV-1,http://111.13.111.167/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226154/1.m3u8 
CCTV-1,http://111.13.111.167/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226338/1.m3u8 


CCTV-2,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226230/1.m3u8  
CCTV-2,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225934/1.m3u8 
CCTV-3,http://121.31.30.90:8085/ysten-business/live/cctv-3/yst.m3u8
CCTV-3,http://ivi.bupt.edu.cn/hls/cctv3hd.m3u8
CCTV-3,http://112.17.40.140/PLTV/88888888/224/3221226431/index.m3u8


CCTV-4,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226156/1.m3u8
CCTV-4,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226335/1.m3u8 

CCTV-5,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226256/1.m3u8 
CCTV-5,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226257/1.m3u8 

